Catalog Number,Material,Material Description,Sales Unit,Delivery unit
79349,79349,ANGLEADAPTER 5° PL,PCE,50
79350,79350,ANGLEADAPTER 10° PL,PCE,50
79382,79382,FFMPL 9000 HA D0 SCREW-ON,PCE,50
79389,929692100,LIFT 180N 90°,SET,10
79462,905948700,Rastex15/15 D zinc self colour,PCE,2000
79462,905948701,Rastex15/15 D zinc self colour,PCE,2000
79642,79642,VB 35/16 BLACK,PCE,200
79664,79664,CONN.PLATE 80MM CHROME,PCE,50
79665,911373500,UNIVERSAL ANGLE 31x31 ZINC,PCE,100
79666,79666,FRONT PLATE CONN. VB15,PCE,100
79689,79689,KORREKT FIXINGBLOCK 2 EXPDOWEL,PCE,40
115014,920906801,PD VELITRA STS LO BR CC224/260,PCE,50
115016,920906901,PD VELITRA STS LO BR CC260/320,PCE,25
115017,920907000,PD VELITRA STS LO BR CC360/416,PCE,25
115019,920867302,PD FERMO STS LO BR CC32/64,PCE,50
115020,920867202,PD FERMO CHR BR CC32/64,PCE,50
115021,912615901,PD STABIA ALU AN CC128 L140,PCE,50
115021,912615902,PD STABIA ALU AN CC128 L140,PCE,50
115022,912616002,PD STABIA ALU AN CC160 L172,PCE,75
115023,912615701,PD STABIA ALU AN CC96 L108,PCE,100
115024,912615802,PD STABIA ALU AN CC224 L236,PCE,50
115090,912584802,PD ESLINGA ALU AN L2000,PCE,4
115091,912615601,PD LUTETIA ALU AN L2000,PCE,6
115115,912583201,PD LINDAVIA ALU AN L2000,PCE,12
115154,40740,PD VENUSIA STS LO BR CC32,PCE,25
115155,907196100,PD VENUSIA CHR BR CC32,PCE,25
115156,921111600,PD MESSANA STS LO BR CC32,PCE,50
115157,921111700,PD MESSANA CHR BR C32,PCE,50
115169,926342800,PD BELNA STS LO BR CC128 L135,PCE,50
115170,912713801,PD BELNA STS LO BR CC160 L167,PCE,50
115205,912543002,PD CLIVIA ALU AN CC96 L108,PCE,50
115206,912541802,PD CLIVIA ALU AN CC224 L236,PCE,25
115292,912510902,PD FLAVIA TIN LO CC96 L145,PCE,50
115293,912510802,PD FLAVIA NIC MA CC96 L145,PCE,50
115312,912708002,PD ISSA STS LO BR Ø40,PCE,50
115353,912541502,PD CLIVIA ALU AN CC160 L172,PCE,50
115354,912541403,PD CLIVIA ALU AN CC192 L204,PCE,50
115355,912541702,PD CLIVIA ALU AN CC128 L140,PCE,50
115355,912541703,PD CLIVIA ALU AN CC128 L140,PCE,50
115356,912541902,PD CLIVIA ALU AN CC232 L244,PCE,50
115356,912541903,PD CLIVIA ALU AN CC232 L244,PCE,50
115357,912542002,PD CLIVIA ALU AN CC282 L294,PCE,25
115358,912542102,PD CLIVIA ALU AN CC332 L344,PCE,25
115359,912542202,PD CLIVIA ALU AN CC382 L394,PCE,25
115365,918164800,PD 93246 OF043 ADAPTER,PCE,100
115366,918165200,PD 93246 OF039 ADAPTER,PCE,100
1001097,100109701,Screw  M5x11  SE PZ VN ST VE5000 BN00543,PCE,5000
1001097,100109702,Screw  M5x11  SE PZ VN ST VE5000 BN00543,PCE,5000
1004895,100489500,"SPS 3,5X13 SE PZ ST VN  LN12433",PCE,35000
1005109,100510901,DIREKTA 2 6.3X50MM CHR. PL PZ(1000/CTN),PCE,1000
1005193,100519300,STOP F.STB-O,PCE,500
1005508,100550801,"Screw, DBS 6.3 x 10.5 PU1000/CR  BN00622",PCE,1000
1019618,101961806,SAH 16 R/H METAL WHITE,PCE,100
1019619,101961906,SAH 16 L/H METAL WHITE,PCE,100
1023828,102382800,Wing 77 - Latch Plate,PCE,250
1029518,102951808,Intermat Top 9943 T42/26 D0,PCE,200
1029520,102952012,"S_9943__B12,5_TH43                    UG",PCE,200
1029522,102952208,"S_9943__B12,5_TB43                    UG",PCE,200
1030620,103062007,S_9943__B3_TH42                       UG,PCE,200
1030622,103062208,S_9943__B3_TH43                       UG,PCE,200
1030922,103092208,"S_9943__B-3,5_TH42                    UG",PCE,200
1030924,103092409,"S_9943__B-3,5_TH43                    UG",PCE,200
1031071,103107114,"S_9943__B12,5_TH44                    UG",PCE,200
1037931,103793101,screw. drive 3.85 x 11.5         BN02943,PCE,5000
1037931,103793102,screw. drive 3.85 x 11.5         BN02943,PCE,5000
1050541,105054103,RASTEX 15/29 DAL  FA 1569 NICKEL,PCE,1000
1054519,105451901,VHS 2 piece Connecting Fitting,PCE,2000
1058365,105836509,"S_9936__B12,5_TH42                    UG",PCE,200
1058371,105837108,"S_9936__B12,5_TH43                    UG",PCE,200
1058410,105841000,collective item HPH,PCE,1
1061347,106134710,S_9936_W90_B5_TH44                    UG,PCE,200
1061450,106145003,Innotech Front Clips -  knock in,PCE,400
1061965,106196502,IT/QT Railing Connector          HE08639,PCE,400
1062501,106250104,IT BP CONN. H 70 VP40 SI      LH HE56820,PCE,40
1062502,106250204,IT BP CONN. H 70 VP40 SI      RH HE56821,PCE,40
1063172,106317201,WINGLINE 230 RUNNER CARRIAGE WHEELS,PCE,200
1065191,106519104,INNOTECH FRONT CONNECTOR SCREW ON,PCE,400
1071891,107189150,KA05632-010-02500 250 MM NR01010,SET,10
1071893,107189350,KA05632-012-02500 300 MM NR01012,SET,10
1071894,107189450,KA05632-014-02500 350 MM NR01014,SET,10
1071895,107189550,KA05632-016-02500 400 MM NR01016,SET,10
1071896,107189650,KA05632-018-02500 450 MM NR01018,SET,10
1071897,107189750,KA05632-020-02500 500 MM NR01020,SET,10
1071898,107189850,KA05632-022-02500 550 MM NR01022,SET,10
1071899,107189950,KA05632-024-02500 600 MM NR01024,SET,10
1071900,107190050,KA05632-026-02500 650 MM NR01026,SET,10
1072987,107298701,Runner carriage set FSB230 left,PCE,20
1072987,107298702,Runner carriage set FSB230 left,PCE,20
1072988,107298801,Runner carriage set FSB230 right,PCE,20
1072988,107298802,Runner carriage set FSB230 right,PCE,20
